2026-06-12 04:35:33 +0300 - [run_measurements] - INFO - Fetching connected RIPE Atlas probes for country JP
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 26804 in network 130.62.0.0/17 (AS 55391)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 26805 in network 106.72.0.0/15 (AS 2516)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 26823 in network 183.76.0.0/15 (AS 4685)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 26859 in network 131.113.0.0/16 (AS 38635)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 27025 in network 118.0.0.0/12 (AS 4713)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 27130 in network 210.191.0.0/18 (AS 2516)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 27131 in network 203.141.192.0/19 (AS 17518)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 27284 in network 138.64.0.0/16 (AS 4685)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 27692 in network 59.129.0.0/16 (AS 2516)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 28714 in network 122.208.0.0/14 (AS 17506)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 28820 in network 103.202.216.0/23 (AS 59105)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 29036 in network 150.54.0.0/16 (AS 2907)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 29043 in network 153.192.0.0/11 (AS 4713)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 29080 in network 106.72.0.0/15 (AS 2516)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 30306 in network 192.50.220.0/24 (AS 59128)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 31111 in network 192.50.220.0/24 (AS 59128)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 32172 in network 117.102.192.0/19 (AS 2514)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 32783 in network 218.219.144.0/20 (AS 17948)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 33022 in network 59.85.0.0/16 (AS 10010)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 33107 in network 126.44.0.0/16 (AS 17676)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 33698 in network 125.12.0.0/17 (AS 9824)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 34085 in network 210.138.0.0/16 (AS 2497)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 34223 in network 113.32.0.0/13 (AS 17506)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 34380 in network 124.159.0.0/16 (AS 7679)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 34513 in network 106.160.0.0/16 (AS 2516)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 34665 in network 125.14.128.0/17 (AS 9824)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 50079 in network 164.70.128.0/17 (AS 2527)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 50106 in network 203.178.128.0/17 (AS 2500)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 50170 in network 60.60.128.0/17 (AS 9824)
2026-06-12 04:35:33 +0300 - [get_probes] - INFO - Found probe 50204 in network 115.179.0.0/16 (AS 2519)
